Name,Address,Day,Time,Notes
נחיתה ב־JFK,"JFK Airport, Queens, NY",יום 1 · 30/09,05:50,"טיסת LY 1, דור ומוטי"
צ'ק־אין ראשוני במלון,"Cambria Hotel New York - Chelsea, 123 W 28th St, New York, NY",יום 1 · 30/09,07:30,הפקדת מזוודות בקבלה
ארוחת בוקר,"Chelsea, Manhattan, NY",יום 1 · 30/09,08:00,קפה ומאפה או דיינר קלאסי בצ'לסי
Google Store,"Google Store Chelsea, 76 9th Ave, New York, NY",יום 1 · 30/09,10:00,חנות הדגל בשדרה ה־9. מוטי מסמן וי
Hudson Yards וה־Vessel,"The Vessel, 20 Hudson Yards, New York, NY",יום 1 · 30/09,14:30,צפייה במבנה מבחוץ
High Line,"High Line, W 34th St entrance, New York, NY",יום 1 · 30/09,15:00,יורדים דרומה על הפארק המוגבה עד רחוב 15/16
Chelsea Market,"Chelsea Market, 75 9th Ave, New York, NY",יום 1 · 30/09,16:30,בלי הזמנה. כל אחד קונה מדוכן אחר ואוכלים ביחד
שקיעה ב־Little Island,"Little Island, Pier 55, New York, NY",יום 1 · 30/09,18:00,"פארק חינמי על המים, צמוד לצ'לסי מרקט"
ארוחת ערב אסייתית,"TAO Downtown, 92 9th Ave, New York, NY",יום 1 · 30/09,20:30,ארוחה ראשונה בהרכב מלא: TAO Downtown או Buddakan
דאון טאון ברגל,"Oculus, 185 Greenwich St, New York, NY",יום 2 · 01/10,09:30,"מה־Oculus, דרך וול סטריט ועד השור המסתער"
Katz's Delicatessen,"Katz's Delicatessen, 205 E Houston St, New York, NY",יום 2 · 01/10,13:00,"כריך פסטרמה, בלי הזמנה"
שופינג בסוהו,"SoHo, New York, NY",יום 2 · 01/10,15:00,
סטייקהאוס,"Gallaghers Steakhouse, 228 W 52nd St, New York, NY",יום 2 · 01/10,18:00,"Gallaghers במידטאון, קרוב לתיאטרון"
The Book of Mormon,"Eugene O'Neill Theatre, 230 W 49th St, New York, NY",יום 2 · 01/10,20:00,מופע ברודוויי
וויסקי של לילה,"The Flatiron Room, New York, NY",יום 2 · 01/10,22:30,The Flatiron Room או Brandy Library
ריצה בסנטרל פארק,"Jacqueline Kennedy Onassis Reservoir, Central Park, New York, NY",יום 3 · 02/10,09:00,"דור ומוטי, מסלול ה־Reservoir"
התארגנות במלון,"Cambria Hotel New York - Chelsea, 123 W 28th St, New York, NY",יום 3 · 02/10,11:00,מקלחות
השדרה החמישית,"Rockefeller Center, New York, NY",יום 3 · 02/10,13:00,"רוקפלר סנטר, חנות ה־NBA והחנויות הגדולות"
פיצה בווילג',"Joe's Pizza, 7 Carmine St, New York, NY",יום 3 · 02/10,19:30,"Joe's Pizza או John's of Bleecker Street, בלי הזמנה"
סטנדאפ ב־Comedy Cellar,"Comedy Cellar, 117 MacDougal St, New York, NY",יום 3 · 02/10,21:30,שולחן ל־3
גשר ברוקלין ברגל,"Brooklyn Bridge Pedestrian Walkway, New York, NY",יום 4 · 03/10,10:00,חוצים ממנהטן לברוקלין
Time Out Market,"Time Out Market New York, 55 Water St, Brooklyn, NY",יום 4 · 03/10,11:30,מתחם אוכל בדאמבו עם תצפית מעולה
בירות בוויליאמסבורג,"Radegast Hall & Biergarten, 113 N 3rd St, Brooklyn, NY",יום 4 · 03/10,14:30,Radegast Hall או Other Half Brewing. סטאוטים ובירות כהות
Midtown Comics,"Midtown Comics, Times Square, New York, NY",יום 5 · 04/10,09:30,קומות של חוברות ומרצ'נדייז של מארוול
צ'ק־אאוט,"Cambria Hotel New York - Chelsea, 123 W 28th St, New York, NY",יום 5 · 04/10,11:00,סגירת חשבון ומזוודות בחדר השמירה
