Name,Address,Day,Time,Notes
מעבר מלון,"The Hotel at Fifth Avenue, 17 W 32nd St, New York, NY",יום 1 · 04/10,15:00,צ'ק־אין או הפקדת מזוודות
בריף,"Ace Hotel New York, 20 W 29th St, New York, NY",יום 1 · 04/10,16:15,לקראת הפגישות של 5/10
ערב פתיחה ב־SPIN,"SPIN New York, 1626 Broadway, New York, NY",יום 1 · 04/10,18:00,"כל המסלולים יחד, שתייה וכיבוד"
Acme Smoked Fish,"1 Wythe Ave, Brooklyn, NY 11249",יום 2 · 05/10,09:00,Amily Caslow
"TikTok, NBA, Facebook, Eden Capital","200 Park Ave, New York, NY 10166",יום 2 · 05/10,13:00,Kate Jhaveri
Baron Capital,"767 Fifth Ave, New York, NY 10153",יום 2 · 05/10,16:00,Ron Baron
BTIG,"65 E 55th St, New York, NY",יום 3 · 06/10,08:30,Sasson Darwish
BD Hotels,"Hotel Chelsea, 222 W 23rd St, New York, NY",יום 3 · 06/10,13:00,Richard Born
Payoneer,"195 Broadway, New York, NY 10007",יום 3 · 06/10,14:45,"Bea Ortonez, Tsafi Goldman"
Teads / Outbrain,"3 World Trade Center, 175 Greenwich St, New York, NY",יום 3 · 06/10,16:30,Yaron Galai
David Webb,"942 Madison Ave, New York, NY",יום 4 · 07/10,09:30,James Weiss
IDB Bank,"1114 6th Ave, New York, NY",יום 4 · 07/10,11:30,Avner Mendelson
Jefferies,"520 Madison Ave, New York, NY",יום 4 · 07/10,13:00,Raphael Bejarano
Elise.AI,"401 Fifth Ave, New York, NY 10016",יום 4 · 07/10,15:00,Francesca Loftus
NYSE,"11 Wall St, New York, NY",יום 5 · 08/10,08:30,ICE
Starbucks,"350 Fifth Ave, New York, NY 10118",יום 5 · 08/10,11:30,Dan Shalit
BSE Global,"168 39th St, Brooklyn, NY 11232",יום 5 · 08/10,16:30,Sam Zussman
נטס מול 76ers,"Barclays Center, 620 Atlantic Ave, Brooklyn, NY",יום 5 · 08/10,19:30,משחק הכנה
סיור ב־Newlab,"19 Morris Ave, Building 128, Brooklyn, NY 11205",יום 6 · 09/10,09:00,
צ'ק־אאוט,"The Hotel at Fifth Avenue, 17 W 32nd St, New York, NY",יום 7 · 10/10,11:00,מזוודות בשמירה במלון
יציאה ל־JFK,"JFK Airport, Queens, NY",יום 7 · 10/10,14:00,טיסה DL 8741 ב־17:30
